company_id,brand_id,platform_name,campaign_id
C1,B1,pinterest_ads,campaign_10
C1,B1,pinterest_ads,campaign_7
C1,B1,pinterest_ads,campaign_8
C1,B1,pinterest_ads,campaign_9
C1,B2,google_ads,campaign_4
C1,B2,google_ads,campaign_5
C1,B2,google_ads,campaign_6
C1,B3,facebook_ads,campaign_1
C1,B3,facebook_ads,campaign_2
C1,B3,facebook_ads,campaign_3
C2,B4,facebook_ads,campaign_11
C2,B4,facebook_ads,campaign_12
C2,B4,google_ads,campaign_13
C2,B4,google_ads,campaign_14
C2,B4,pinterest_ads,campaign_15
C3,B6,facebook_ads,campaign_23
C3,B6,facebook_ads,campaign_24
C3,B6,facebook_ads,campaign_29
C3,B6,google_ads,campaign_25
C3,B6,google_ads,campaign_26
C3,B6,google_ads,campaign_30
C3,B6,pinterest_ads,campaign_22
C3,B6,pinterest_ads,campaign_27
C3,B6,pinterest_ads,campaign_28
